RMS Current (A),RMS Voltage (V),Load Combinations,%Belt Tension,Power (W),%Power/Nominal_Power,Load,Class_3,Normalized_Power,Normalized_Load
2.133,239.866,0,15,230,23,0,1,0.103,0.0
2.174,240.772,9,75,241,25,2,2,0.265,0.6
2.381,237.661,8,95,269,27,1,3,0.676,0.533
2.133,240.257,0,45,233,24,0,1,0.147,0.0
2.187,240.771,9,85,243,25,2,2,0.294,0.6
2.179,240.831,10,75,244,25,2,2,0.309,0.667
2.448,237.269,14,95,279,28,3,3,0.824,0.933
2.569,236.922,7,95,279,28,3,3,0.824,0.467
2.137,240.116,0,85,236,24,0,2,0.191,0.0
2.358,237.072,8,95,264,27,1,3,0.603,0.533
2.413,237.325,8,95,266,27,1,3,0.632,0.533
2.194,239.854,6,75,247,25,2,2,0.353,0.4
2.411,238.096,2,95,269,27,1,3,0.676,0.133
2.178,240.438,0,70,238,24,0,1,0.221,0.0
2.424,237.59,3,95,275,28,2,3,0.765,0.2
2.132,240.311,0,85,238,24,0,2,0.221,0.0
2.157,240.521,5,75,241,25,2,2,0.265,0.333
2.45,236.741,11,95,270,27,3,3,0.691,0.733
2.125,240.441,0,45,233,24,0,1,0.147,0.0
2.179,240.289,9,85,242,25,2,2,0.279,0.6
2.154,240.59,8,75,240,24,1,2,0.25,0.533
2.477,236.903,10,95,271,28,2,3,0.706,0.667
2.173,237.214,11,85,241,25,3,2,0.265,0.733
2.251,237.339,7,85,249,25,3,2,0.382,0.467
2.164,240.024,1,75,242,25,1,2,0.279,0.067
2.445,237.119,12,95,272,28,2,3,0.721,0.8
2.127,239.318,0,15,230,23,0,1,0.103,0.0
2.161,240.772,9,75,240,24,2,2,0.25,0.6
2.163,237.216,14,85,250,25,3,2,0.397,0.933
2.408,236.959,9,95,268,27,2,3,0.662,0.6
2.169,237.299,13,85,240,24,3,2,0.25,0.867
2.379,237.371,1,95,264,27,1,3,0.603,0.067
2.174,239.616,4,75,241,25,1,2,0.265,0.267
2.183,240.275,6,75,245,25,2,2,0.324,0.4
2.415,237.221,12,95,274,28,2,3,0.75,0.8
2.112,238.62,0,15,227,23,0,1,0.059,0.0
2.427,237.584,2,95,269,27,1,3,0.676,0.133
2.197,240.679,6,75,247,25,2,2,0.353,0.4
2.11,240.255,0,60,230,23,0,1,0.103,0.0
2.161,240.331,0,75,238,24,0,2,0.221,0.0
2.421,237.433,2,95,267,27,1,3,0.647,0.133
2.383,237.01,10,95,270,27,2,3,0.691,0.667
2.486,236.755,14,95,278,28,3,3,0.809,0.933
2.177,236.96,11,85,240,24,3,2,0.25,0.733
2.186,240.029,15,75,245,25,4,2,0.324,1.0
2.182,239.784,4,75,241,25,1,2,0.265,0.267
2.173,236.88,11,85,240,24,3,2,0.25,0.733
2.182,240.002,15,75,245,25,4,2,0.324,1.0
